tracking_id	SANO_0	SANO_1	SANO_2	CANCER_0	CANCER_1	CANCER_2
MSTRG.12424	0	0	0	19.7182	0	0
MSTRG.12425	37.1392	6.17078	8.37472	32.14	20.0212	25.8623
MSTRG.12426	0	3.03689	5.17912	20.8979	35.0182	13.2317
MSTRG.12427	7.23961	10.6169	9.02448	8.43943	5.08176	9.65636
MSTRG.12429	0.625119	0.0398419	0.0795462	0.154017	22.7807	4.82851
MSTRG.1243	20.9857	16.2212	17.2977	16.1002	24.2349	29.7787
MSTRG.12430	0.598104	0	0.00338952	0	0.558509	2.39423
MSTRG.12431	5.32028	3.9104	4.55581	5.93686	15.4063	17.5212
MSTRG.12432	8.07998	15.8608	9.42076	9.63736	7.18383	4.07792
MSTRG.12433	1.01143	0.728206	1.37061	2.93329	4.17283	6.77118
MSTRG.12434	4.24167	4.34521	4.28083	5.05789	6.68219	5.77508
MSTRG.12435	17.4481	59.7392	15.4859	58.2039	6.56591	4.61971
MSTRG.12436	0	0	0	0.0384207	0.064384	0.0729837
MSTRG.12437	2.87906	1.76951	0.905315	1.82649	0	4.24034
MSTRG.12438	17.1615	30.4592	32.7718	20.0072	14.3995	17.4742
MSTRG.12439	0.456059	0.213751	0.266088	0.669623	0.911635	0.959789
MSTRG.1244	32.1499	19.0496	21.4447	20.0138	40.5808	40.0813
MSTRG.12440	25.3698	17.0477	17.7716	28.2894	44.5802	1388.97
MSTRG.12441	6.76017	5.97126	6.31284	4.08446	2.91469	3.09635
MSTRG.12442	13.1921	4.08591	3.55059	12.9734	23.0206	19.5252
MSTRG.12443	0.186283	0.0527719	0.148223	0.0888234	0.0873356	0.133491
MSTRG.12444	4.69585	18.6274	9.10999	8.21585	8.04779	7.01853
MSTRG.12445	53.1148	42.8197	45.6066	80.7033	67.1478	86.1311
MSTRG.12446	0.92698	0.880052	0.706013	1.34994	4.79782	2.53667
MSTRG.12447	0.809428	0.245037	0.441446	0.505888	1.82856	11.0532
MSTRG.12448	5.87621	10.965	11.8044	9.30596	6.18615	5.07933
MSTRG.12449	20.2455	17.1276	19.3482	22.4138	25.3201	40.9799
